timestamp, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw.instant [W], power.limit [W], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], pcie.link.gen.gpucurrent, pcie.link.width.current, clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.sw_thermal_slowdown
2026/07/24 05:24:32.335, P2, 1860, 7601, 108.12, 230.00, 71, 0, 0, 12704, 3, 16, Not Active, Not Active, Not Active
2026/07/24 05:24:33.340, P2, 1695, 7601, 86.50, 230.00, 70, 0, 0, 12704, 3, 16, Not Active, Not Active, Not Active
2026/07/24 05:24:34.341, P2, 1560, 7601, 221.67, 230.00, 75, 92, 35, 12704, 3, 16, Active, Not Active, Not Active
2026/07/24 05:24:35.342, P2, 1470, 7601, 231.85, 230.00, 76, 100, 38, 12704, 3, 16, Active, Not Active, Not Active
2026/07/24 05:24:36.342, P2, 1695, 7601, 197.23, 230.00, 75, 60, 31, 12704, 3, 16, Active, Not Active, Not Active
2026/07/24 05:24:37.343, P2, 1695, 7601, 200.01, 230.00, 75, 66, 34, 12704, 3, 16, Active, Not Active, Not Active
2026/07/24 05:24:38.344, P2, 1680, 7601, 200.36, 230.00, 75, 66, 34, 12704, 3, 16, Active, Not Active, Not Active
2026/07/24 05:24:39.345, P2, 1635, 7601, 200.19, 230.00, 75, 65, 34, 12704, 3, 16, Active, Not Active, Not Active
2026/07/24 05:24:40.346, P2, 1740, 7601, 202.45, 230.00, 75, 65, 34, 12704, 3, 16, Active, Not Active, Not Active
2026/07/24 05:24:41.346, P2, 1680, 7601, 199.41, 230.00, 76, 65, 34, 12704, 3, 16, Active, Not Active, Not Active
2026/07/24 05:24:42.347, P2, 1710, 7601, 188.17, 230.00, 75, 63, 33, 12704, 3, 16, Active, Not Active, Not Active
2026/07/24 05:24:43.348, P2, 1695, 7601, 188.27, 230.00, 76, 60, 31, 12704, 3, 16, Active, Not Active, Not Active
2026/07/24 05:24:44.348, P2, 1680, 7601, 188.90, 230.00, 75, 59, 31, 12704, 3, 16, Active, Not Active, Not Active
2026/07/24 05:24:45.349, P2, 1590, 7601, 185.65, 230.00, 75, 56, 28, 12704, 3, 16, Active, Not Active, Not Active
2026/07/24 05:24:46.350, P2, 1650, 7601, 196.54, 230.00, 75, 59, 30, 12704, 3, 16, Active, Not Active, Not Active
2026/07/24 05:24:47.351, P2, 1695, 7601, 201.46, 230.00, 75, 61, 31, 12704, 3, 16, Active, Not Active, Not Active
2026/07/24 05:24:48.352, P2, 1710, 7601, 200.49, 230.00, 75, 62, 32, 12704, 3, 16, Active, Not Active, Not Active
2026/07/24 05:24:49.352, P2, 1470, 7601, 226.77, 230.00, 76, 100, 37, 12704, 3, 16, Active, Not Active, Not Active
2026/07/24 05:24:50.353, P2, 1470, 7601, 227.64, 230.00, 77, 94, 38, 12704, 3, 16, Active, Not Active, Not Active
2026/07/24 05:24:51.354, P2, 1725, 7601, 195.76, 230.00, 76, 48, 30, 12704, 3, 16, Active, Not Active, Not Active
2026/07/24 05:24:52.355, P2, 1785, 7601, 182.42, 230.00, 75, 45, 28, 12704, 3, 16, Active, Not Active, Not Active
2026/07/24 05:24:53.356, P2, 1845, 7601, 189.68, 230.00, 75, 52, 33, 12704, 3, 16, Active, Not Active, Not Active
2026/07/24 05:24:54.356, P2, 1830, 7601, 193.26, 230.00, 75, 51, 33, 12704, 3, 16, Active, Not Active, Not Active
2026/07/24 05:24:55.357, P2, 1725, 7601, 189.59, 230.00, 75, 45, 28, 12704, 3, 16, Active, Not Active, Not Active
2026/07/24 05:24:56.358, P2, 1860, 7601, 180.64, 230.00, 76, 49, 31, 12704, 3, 16, Active, Not Active, Not Active
2026/07/24 05:24:57.358, P2, 1755, 7601, 195.67, 230.00, 76, 49, 31, 12704, 3, 16, Active, Not Active, Not Active
2026/07/24 05:24:58.359, P2, 1845, 7601, 193.00, 230.00, 75, 54, 34, 12704, 3, 16, Active, Not Active, Not Active
2026/07/24 05:24:59.360, P2, 1785, 7601, 200.98, 230.00, 75, 54, 34, 12704, 3, 16, Active, Not Active, Not Active
2026/07/24 05:25:00.361, P2, 1470, 7601, 213.44, 230.00, 76, 85, 33, 12704, 3, 16, Active, Not Active, Not Active
2026/07/24 05:25:01.362, P2, 1515, 7601, 226.97, 230.00, 76, 99, 41, 12704, 3, 16, Active, Not Active, Not Active
2026/07/24 05:25:02.362, P2, 1665, 7601, 191.75, 230.00, 76, 60, 30, 12704, 3, 16, Active, Not Active, Not Active
2026/07/24 05:25:03.363, P2, 1695, 7601, 191.55, 230.00, 75, 61, 32, 12704, 3, 16, Active, Not Active, Not Active
2026/07/24 05:25:04.364, P2, 1695, 7601, 192.00, 230.00, 75, 61, 32, 12704, 3, 16, Active, Not Active, Not Active
2026/07/24 05:25:05.365, P2, 1695, 7601, 191.03, 230.00, 76, 64, 33, 12704, 3, 16, Active, Not Active, Not Active
2026/07/24 05:25:06.366, P2, 1710, 7601, 203.71, 230.00, 76, 65, 34, 12704, 3, 16, Active, Not Active, Not Active
2026/07/24 05:25:07.366, P2, 1755, 7601, 199.74, 230.00, 75, 66, 34, 12704, 3, 16, Active, Not Active, Not Active
2026/07/24 05:25:08.367, P2, 1710, 7601, 199.96, 230.00, 75, 64, 33, 12704, 3, 16, Active, Not Active, Not Active
2026/07/24 05:25:09.368, P2, 1635, 7601, 195.70, 230.00, 75, 61, 31, 12704, 3, 16, Active, Not Active, Not Active
2026/07/24 05:25:10.368, P2, 1530, 7601, 194.59, 230.00, 76, 61, 31, 12704, 3, 16, Active, Not Active, Not Active
2026/07/24 05:25:11.369, P2, 1605, 7601, 194.02, 230.00, 75, 60, 31, 12704, 3, 16, Active, Not Active, Not Active
2026/07/24 05:25:12.370, P2, 1560, 7601, 193.39, 230.00, 75, 60, 31, 12704, 3, 16, Active, Not Active, Not Active
