timestamp, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw.instant [W], power.limit [W], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], pcie.link.gen.gpucurrent, pcie.link.width.current, clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.sw_thermal_slowdown
2026/07/24 05:52:47.089, P2, 1860, 7601, 113.51, 230.00, 75, 0, 0, 21112, 3, 16, Not Active, Not Active, Not Active
2026/07/24 05:52:48.094, P2, 1695, 7601, 110.68, 230.00, 74, 0, 0, 21112, 3, 16, Not Active, Not Active, Not Active
2026/07/24 05:52:49.095, P2, 1425, 7601, 230.90, 230.00, 77, 100, 34, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 05:52:50.095, P2, 1635, 7601, 229.34, 230.00, 78, 89, 87, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 05:52:51.097, P2, 1605, 7601, 229.74, 230.00, 78, 90, 90, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 05:52:52.098, P2, 1605, 7601, 230.77, 230.00, 78, 90, 90, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 05:52:53.098, P2, 1590, 7601, 227.99, 230.00, 78, 91, 91, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 05:52:54.099, P2, 1590, 7601, 227.85, 230.00, 78, 90, 91, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 05:52:55.100, P2, 1410, 7601, 230.54, 230.00, 79, 100, 35, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 05:52:56.101, P2, 1620, 7601, 232.95, 230.00, 79, 89, 88, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 05:52:57.102, P2, 1605, 7601, 230.29, 230.00, 79, 90, 90, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 05:52:58.103, P2, 1620, 7601, 233.09, 230.00, 79, 90, 90, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 05:52:59.104, P2, 1605, 7601, 233.10, 230.00, 79, 90, 90, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 05:53:00.105, P2, 1605, 7601, 233.87, 230.00, 79, 90, 91, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 05:53:01.106, P2, 1425, 7601, 234.88, 230.00, 79, 100, 34, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 05:53:02.107, P2, 1620, 7601, 230.34, 230.00, 79, 89, 88, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 05:53:03.108, P2, 1605, 7601, 230.83, 230.00, 79, 90, 90, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 05:53:04.109, P2, 1605, 7601, 232.24, 230.00, 79, 90, 90, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 05:53:05.110, P2, 1590, 7601, 230.88, 230.00, 79, 90, 90, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 05:53:06.110, P2, 1590, 7601, 231.52, 230.00, 79, 90, 91, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 05:53:07.111, P2, 1410, 7601, 234.38, 230.00, 80, 100, 34, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 05:53:08.112, P2, 1620, 7601, 233.29, 230.00, 79, 90, 89, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 05:53:09.113, P2, 1620, 7601, 232.98, 230.00, 79, 90, 90, 21112, 3, 16, Active, Not Active, Not Active
