timestamp, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw.instant [W], power.limit [W], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], pcie.link.gen.gpucurrent, pcie.link.width.current, clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.sw_thermal_slowdown
2026/07/24 06:46:04.716, P2, 1695, 7601, 111.33, 230.00, 74, 0, 0, 21116, 3, 16, Not Active, Not Active, Not Active
2026/07/24 06:46:05.721, P2, 1695, 7601, 89.33, 230.00, 72, 0, 0, 21116, 3, 16, Not Active, Not Active, Not Active
2026/07/24 06:46:06.722, P2, 1455, 7601, 233.78, 230.00, 78, 100, 37, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:07.723, P2, 1590, 7601, 232.63, 230.00, 78, 88, 79, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:08.724, P2, 1575, 7601, 231.07, 230.00, 78, 88, 80, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:09.724, P2, 1605, 7601, 227.06, 230.00, 78, 90, 81, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:10.725, P2, 1560, 7601, 230.30, 230.00, 79, 88, 82, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:11.726, P2, 1605, 7601, 230.37, 230.00, 78, 90, 82, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:12.727, P2, 1590, 7601, 228.78, 230.00, 78, 90, 84, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:13.727, P2, 1575, 7601, 231.45, 230.00, 79, 89, 85, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:14.728, P2, 1575, 7601, 225.23, 230.00, 78, 90, 85, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:15.729, P2, 1560, 7601, 228.40, 230.00, 79, 90, 85, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:16.730, P2, 1590, 7601, 229.56, 230.00, 79, 92, 89, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:17.731, P2, 1455, 7601, 236.75, 230.00, 79, 91, 91, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:18.732, P2, 1470, 7601, 226.70, 230.00, 79, 90, 89, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:19.733, P2, 1500, 7601, 231.28, 230.00, 79, 90, 80, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:20.733, P2, 1620, 7601, 237.01, 230.00, 79, 88, 79, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:21.734, P2, 1605, 7601, 232.89, 230.00, 79, 87, 80, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:22.735, P2, 1605, 7601, 227.55, 230.00, 79, 87, 80, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:23.736, P2, 1590, 7601, 232.78, 230.00, 79, 87, 82, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:24.736, P2, 1575, 7601, 225.53, 230.00, 79, 90, 83, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:25.737, P2, 1590, 7601, 231.69, 230.00, 79, 87, 82, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:26.738, P2, 1575, 7601, 228.19, 230.00, 79, 89, 85, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:27.739, P2, 1545, 7601, 225.19, 230.00, 79, 90, 85, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:28.740, P2, 1545, 7601, 224.13, 230.00, 79, 90, 85, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:29.740, P2, 1560, 7601, 232.38, 230.00, 79, 90, 87, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:30.741, P2, 1575, 7601, 228.69, 230.00, 79, 90, 87, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:31.748, P2, 1575, 7601, 231.03, 230.00, 79, 89, 86, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:32.749, P2, 1635, 7601, 232.92, 230.00, 79, 92, 89, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:33.750, P2, 1635, 7601, 234.66, 230.00, 79, 88, 79, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:34.751, P2, 1620, 7601, 231.30, 230.00, 79, 87, 79, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:35.752, P2, 1605, 7601, 234.70, 230.00, 79, 90, 82, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:36.753, P2, 1605, 7601, 224.71, 230.00, 79, 88, 82, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:37.754, P2, 1605, 7601, 232.80, 230.00, 79, 90, 84, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:38.755, P2, 1545, 7601, 228.70, 230.00, 79, 90, 84, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:39.756, P2, 1590, 7601, 228.32, 230.00, 79, 90, 85, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:40.757, P2, 1575, 7601, 225.16, 230.00, 79, 90, 85, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:41.758, P2, 1590, 7601, 230.11, 230.00, 79, 90, 86, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:42.759, P2, 1560, 7601, 224.76, 230.00, 79, 90, 86, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:43.760, P2, 1425, 7601, 236.49, 230.00, 79, 93, 91, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:44.761, P2, 1395, 7601, 237.38, 230.00, 79, 91, 89, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:45.762, P2, 1650, 7601, 223.73, 230.00, 79, 91, 79, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:46.762, P2, 1620, 7601, 231.17, 230.00, 79, 90, 81, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:47.763, P2, 1620, 7601, 231.15, 230.00, 79, 87, 79, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:48.765, P2, 1605, 7601, 227.16, 230.00, 79, 89, 82, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:49.766, P2, 1575, 7601, 232.19, 230.00, 80, 90, 83, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:50.767, P2, 1575, 7601, 230.17, 230.00, 80, 90, 84, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:51.768, P2, 1575, 7601, 227.16, 230.00, 79, 90, 84, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:52.769, P2, 1575, 7601, 225.69, 230.00, 79, 90, 85, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:53.770, P2, 1575, 7601, 227.79, 230.00, 79, 90, 86, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:54.771, P2, 1575, 7601, 232.34, 230.00, 79, 90, 86, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:55.772, P2, 1530, 7601, 230.35, 230.00, 80, 90, 87, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:56.772, P2, 1545, 7601, 217.08, 230.00, 79, 90, 86, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:57.773, P2, 1500, 7601, 212.24, 230.00, 79, 92, 87, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:58.774, P2, 1605, 7601, 210.62, 230.00, 79, 90, 76, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:46:59.775, P2, 1620, 7601, 228.69, 230.00, 80, 88, 79, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:00.776, P2, 1620, 7601, 232.88, 230.00, 80, 85, 78, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:01.777, P2, 1605, 7601, 223.34, 230.00, 80, 87, 80, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:02.778, P2, 1605, 7601, 229.87, 230.00, 80, 88, 81, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:03.778, P2, 1605, 7601, 226.05, 230.00, 80, 88, 82, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:04.779, P2, 1605, 7601, 230.66, 230.00, 79, 88, 83, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:05.780, P2, 1575, 7601, 225.52, 230.00, 80, 88, 83, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:06.781, P2, 1560, 7601, 226.43, 230.00, 80, 88, 84, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:07.782, P2, 1560, 7601, 225.89, 230.00, 80, 90, 86, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:08.783, P2, 1530, 7601, 226.29, 230.00, 80, 88, 85, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:09.784, P2, 1575, 7601, 235.91, 230.00, 79, 90, 89, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:10.785, P2, 1575, 7601, 216.12, 230.00, 79, 86, 81, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:11.786, P2, 1575, 7601, 206.04, 230.00, 79, 87, 79, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:12.787, P2, 1635, 7601, 233.03, 230.00, 80, 85, 77, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:13.788, P2, 1620, 7601, 229.18, 230.00, 80, 88, 80, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:14.789, P2, 1620, 7601, 234.62, 230.00, 80, 85, 79, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:15.789, P2, 1605, 7601, 229.80, 230.00, 80, 84, 78, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:16.790, P2, 1605, 7601, 230.25, 230.00, 80, 86, 81, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:17.791, P2, 1605, 7601, 227.24, 230.00, 80, 87, 82, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:18.792, P2, 1590, 7601, 231.77, 230.00, 80, 89, 85, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:19.793, P2, 1575, 7601, 231.70, 230.00, 80, 90, 86, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:20.794, P2, 1560, 7601, 229.98, 230.00, 80, 90, 86, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:21.795, P2, 1515, 7601, 232.65, 230.00, 80, 91, 88, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:22.796, P2, 1425, 7601, 237.45, 230.00, 79, 92, 91, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:23.797, P2, 1560, 7601, 223.47, 230.00, 80, 90, 84, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:24.798, P2, 1515, 7601, 232.78, 230.00, 79, 91, 84, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:25.799, P2, 1620, 7601, 234.51, 230.00, 80, 88, 79, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:26.799, P2, 1605, 7601, 224.81, 230.00, 80, 90, 82, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:27.800, P2, 1560, 7601, 232.18, 230.00, 80, 88, 81, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:28.801, P2, 1545, 7601, 229.09, 230.00, 80, 88, 81, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:29.802, P2, 1605, 7601, 220.42, 230.00, 79, 84, 79, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:30.803, P2, 1575, 7601, 226.64, 230.00, 80, 90, 84, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:31.804, P2, 1590, 7601, 229.15, 230.00, 80, 90, 85, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:32.805, P2, 1575, 7601, 226.68, 230.00, 80, 90, 86, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:33.806, P2, 1560, 7601, 225.87, 230.00, 80, 90, 86, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:34.807, P2, 1545, 7601, 214.25, 230.00, 80, 92, 87, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:35.807, P2, 1380, 7601, 236.76, 230.00, 80, 91, 91, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:36.808, P2, 1575, 7601, 231.70, 230.00, 80, 90, 84, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:37.809, P2, 1545, 7601, 212.96, 230.00, 79, 89, 77, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:38.810, P2, 1620, 7601, 228.96, 230.00, 80, 85, 77, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:39.811, P2, 1575, 7601, 232.57, 230.00, 80, 88, 81, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:40.812, P2, 1605, 7601, 226.99, 230.00, 80, 85, 79, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:41.812, P2, 1605, 7601, 223.53, 230.00, 80, 88, 81, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:42.813, P2, 1605, 7601, 227.41, 230.00, 80, 88, 83, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:43.814, P2, 1590, 7601, 227.74, 230.00, 80, 88, 83, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:44.815, P2, 1605, 7601, 229.66, 230.00, 80, 88, 83, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:45.816, P2, 1575, 7601, 226.04, 230.00, 80, 88, 84, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:46.818, P2, 1545, 7601, 229.71, 230.00, 80, 89, 85, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:47.825, P2, 1575, 7601, 225.82, 230.00, 80, 87, 84, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:48.826, P2, 1500, 7601, 230.96, 230.00, 79, 89, 88, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:49.828, P2, 1605, 7601, 223.90, 230.00, 80, 85, 80, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:47:50.829, P2, 1605, 7601, 214.17, 230.00, 80, 87, 79, 21116, 3, 16, Active, Not Active, Not Active
