timestamp, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw.instant [W], power.limit [W], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], pcie.link.gen.gpucurrent, pcie.link.width.current, clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.sw_thermal_slowdown
2026/07/24 06:27:16.457, P2, 1860, 7601, 98.27, 300.00, 76, 0, 0, 42192, 3, 16, Not Active, Not Active, Not Active
2026/07/24 06:27:17.462, P2, 1800, 7601, 97.15, 300.00, 75, 0, 0, 42192, 3, 16, Not Active, Not Active, Not Active
2026/07/24 06:27:18.463, P2, 1575, 7601, 299.59, 300.00, 79, 98, 46, 42192, 3, 16, Active, Not Active, Not Active
2026/07/24 06:27:19.465, P2, 1575, 7601, 299.67, 300.00, 80, 100, 46, 42192, 3, 16, Active, Not Active, Not Active
2026/07/24 06:27:20.465, P2, 1860, 7601, 289.02, 300.00, 81, 94, 99, 42192, 3, 16, Not Active, Not Active, Not Active
2026/07/24 06:27:21.466, P2, 1860, 7601, 255.59, 300.00, 81, 94, 98, 42192, 3, 16, Active, Not Active, Not Active
2026/07/24 06:27:22.467, P2, 1530, 7601, 290.10, 300.00, 81, 98, 46, 42192, 3, 16, Active, Not Active, Not Active
2026/07/24 06:27:23.468, P2, 1545, 7601, 297.55, 300.00, 82, 98, 46, 42192, 3, 16, Active, Not Active, Not Active
2026/07/24 06:27:24.469, P2, 1860, 7601, 294.04, 300.00, 82, 93, 98, 42192, 3, 16, Active, Not Active, Not Active
2026/07/24 06:27:25.470, P2, 1860, 7601, 273.19, 300.00, 82, 94, 99, 42192, 3, 16, Active, Not Active, Not Active
2026/07/24 06:27:26.471, P2, 1530, 7601, 283.34, 300.00, 82, 98, 45, 42192, 3, 16, Active, Not Active, Not Active
2026/07/24 06:27:27.472, P2, 1575, 7601, 308.39, 300.00, 83, 100, 45, 42192, 3, 16, Active, Not Active, Not Active
2026/07/24 06:27:28.472, P2, 1860, 7601, 296.32, 300.00, 83, 93, 98, 42192, 3, 16, Active, Not Active, Not Active
2026/07/24 06:27:29.473, P2, 1845, 7601, 283.45, 300.00, 83, 94, 99, 42192, 3, 16, Active, Not Active, Not Active
2026/07/24 06:27:30.474, P2, 1515, 7601, 291.59, 300.00, 83, 97, 46, 42192, 3, 16, Active, Not Active, Not Active
2026/07/24 06:27:31.475, P2, 1530, 7601, 299.90, 300.00, 84, 98, 45, 42192, 3, 16, Active, Not Active, Not Active
2026/07/24 06:27:32.476, P2, 1860, 7601, 293.25, 300.00, 84, 93, 97, 42192, 3, 16, Not Active, Not Active, Active
2026/07/24 06:27:33.477, P2, 1860, 7601, 284.29, 300.00, 84, 94, 99, 42192, 3, 16, Active, Not Active, Not Active
2026/07/24 06:27:34.477, P2, 1515, 7601, 290.71, 300.00, 84, 98, 46, 42192, 3, 16, Active, Not Active, Not Active
2026/07/24 06:27:35.479, P2, 1530, 7601, 302.21, 300.00, 84, 98, 45, 42192, 3, 16, Active, Not Active, Not Active
2026/07/24 06:27:36.480, P2, 1800, 7601, 278.11, 300.00, 84, 93, 96, 42192, 3, 16, Not Active, Not Active, Active
2026/07/24 06:27:37.481, P2, 1830, 7601, 283.61, 300.00, 85, 93, 98, 42192, 3, 16, Not Active, Not Active, Active
