timestamp, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw.instant [W], power.limit [W], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], pcie.link.gen.gpucurrent, pcie.link.width.current, clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.sw_thermal_slowdown
2026/07/24 06:14:28.224, P2, 1695, 7601, 96.26, 230.00, 62, 0, 0, 21112, 3, 16, Not Active, Not Active, Not Active
2026/07/24 06:14:29.229, P2, 1695, 7601, 77.83, 230.00, 61, 0, 0, 21112, 3, 16, Not Active, Not Active, Not Active
2026/07/24 06:14:30.230, P2, 1740, 7601, 233.42, 230.00, 67, 94, 98, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 06:14:31.231, P2, 1725, 7601, 231.19, 230.00, 68, 94, 97, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 06:14:32.232, P2, 1710, 7601, 232.99, 230.00, 68, 94, 97, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 06:14:33.232, P2, 1860, 7601, 219.21, 230.00, 68, 82, 85, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 06:14:34.233, P2, 1665, 7601, 228.38, 230.00, 69, 94, 97, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 06:14:35.234, P2, 1680, 7601, 226.95, 230.00, 70, 94, 97, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 06:14:36.235, P2, 1680, 7601, 227.38, 230.00, 70, 95, 98, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 06:14:37.236, P2, 1710, 7601, 228.49, 230.00, 70, 94, 97, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 06:14:38.237, P2, 1695, 7601, 227.03, 230.00, 71, 94, 97, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 06:14:39.238, P2, 1695, 7601, 227.20, 230.00, 71, 94, 97, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 06:14:40.239, P2, 1695, 7601, 226.46, 230.00, 71, 94, 97, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 06:14:41.240, P2, 1710, 7601, 231.56, 230.00, 72, 94, 97, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 06:14:42.241, P2, 1695, 7601, 229.66, 230.00, 72, 94, 97, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 06:14:43.241, P2, 1680, 7601, 229.96, 230.00, 73, 94, 97, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 06:14:44.242, P2, 1680, 7601, 228.92, 230.00, 73, 94, 97, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 06:14:45.243, P2, 1695, 7601, 231.21, 230.00, 73, 94, 96, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 06:14:46.244, P2, 1680, 7601, 229.69, 230.00, 74, 94, 97, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 06:14:47.245, P2, 1680, 7601, 230.72, 230.00, 74, 94, 97, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 06:14:48.246, P2, 1845, 7601, 225.91, 230.00, 73, 88, 91, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 06:14:49.247, P2, 1650, 7601, 225.78, 230.00, 74, 94, 97, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 06:14:50.248, P2, 1650, 7601, 226.63, 230.00, 75, 94, 97, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 06:14:51.250, P2, 1650, 7601, 227.87, 230.00, 75, 94, 97, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 06:14:52.251, P2, 1680, 7601, 223.87, 230.00, 75, 94, 96, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 06:14:53.251, P2, 1680, 7601, 226.88, 230.00, 75, 94, 97, 21112, 3, 16, Active, Not Active, Not Active
2026/07/24 06:14:54.252, P2, 1665, 7601, 226.35, 230.00, 75, 94, 97, 21112, 3, 16, Active, Not Active, Not Active
