timestamp, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw.instant [W], power.limit [W], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], pcie.link.gen.gpucurrent, pcie.link.width.current, clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.sw_thermal_slowdown
2026/07/24 07:17:21.412, P2, 1800, 7601, 82.73, 300.00, 65, 3, 0, 42272, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:17:22.418, P2, 1800, 7601, 83.65, 300.00, 65, 4, 0, 42272, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:17:23.419, P2, 1800, 7601, 83.28, 300.00, 65, 4, 0, 42272, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:17:24.420, P2, 1800, 7601, 83.25, 300.00, 65, 4, 0, 42272, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:17:25.420, P2, 1800, 7601, 83.15, 300.00, 65, 3, 0, 42272, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:17:26.421, P2, 1800, 7601, 83.51, 300.00, 65, 4, 0, 42272, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:17:27.422, P2, 1800, 7601, 82.57, 300.00, 65, 4, 0, 42272, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:17:28.422, P2, 1800, 7601, 82.86, 300.00, 65, 4, 0, 42272, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:17:29.423, P2, 1800, 7601, 82.81, 300.00, 65, 4, 0, 42272, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:17:30.424, P2, 1800, 7601, 82.34, 300.00, 65, 4, 0, 42272, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:17:31.424, P2, 1800, 7601, 82.39, 300.00, 65, 4, 0, 42272, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:17:32.425, P2, 1800, 7601, 83.29, 300.00, 65, 5, 0, 42272, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:17:33.426, P2, 1800, 7601, 82.30, 300.00, 64, 0, 0, 42272, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:17:34.426, P2, 1800, 7601, 83.09, 300.00, 65, 4, 0, 42272, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:17:35.427, P2, 1800, 7601, 82.96, 300.00, 64, 4, 0, 42272, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:17:36.427, P2, 1800, 7601, 82.87, 300.00, 64, 4, 0, 42272, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:17:37.429, P2, 1800, 7601, 82.92, 300.00, 64, 4, 0, 42272, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:17:38.430, P2, 1800, 7601, 81.85, 300.00, 64, 0, 0, 42272, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:17:39.430, P2, 1800, 7601, 82.83, 300.00, 64, 4, 0, 42272, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:17:40.431, P2, 1800, 7601, 82.80, 300.00, 64, 4, 0, 42272, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:17:41.432, P2, 1800, 7601, 83.09, 300.00, 64, 4, 0, 42272, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:17:42.432, P2, 1800, 7601, 82.59, 300.00, 64, 4, 0, 42272, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:17:43.433, P2, 1800, 7601, 83.49, 300.00, 64, 4, 0, 42272, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:17:44.434, P2, 1800, 7601, 82.34, 300.00, 64, 4, 0, 42272, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:17:45.434, P2, 1800, 7601, 82.79, 300.00, 64, 4, 0, 42272, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:17:46.435, P2, 1800, 7601, 82.72, 300.00, 64, 4, 0, 42272, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:17:47.436, P2, 1800, 7601, 82.42, 300.00, 64, 4, 0, 42272, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:17:48.436, P2, 1800, 7601, 82.67, 300.00, 64, 4, 0, 42272, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:17:49.437, P2, 1800, 7601, 82.43, 300.00, 64, 4, 0, 42272, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:17:50.438, P2, 1800, 7601, 82.83, 300.00, 64, 4, 0, 42272, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:17:51.438, P2, 1800, 7601, 82.29, 300.00, 64, 4, 0, 42272, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:17:52.439, P2, 1800, 7601, 82.40, 300.00, 64, 4, 0, 42272, 3, 16, Not Active, Not Active, Not Active
