timestamp, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw.instant [W], power.limit [W], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], pcie.link.gen.gpucurrent, pcie.link.width.current, clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.sw_thermal_slowdown
2026/07/24 07:10:30.177, P2, 1860, 7601, 104.08, 300.00, 81, 0, 0, 42428, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:10:31.182, P2, 1800, 7601, 102.59, 300.00, 80, 0, 0, 42428, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:10:32.183, P2, 1860, 7601, 226.95, 300.00, 82, 88, 53, 42428, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:10:33.184, P2, 1860, 7601, 231.86, 300.00, 83, 87, 57, 42428, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:10:34.185, P2, 1860, 7601, 237.38, 300.00, 83, 88, 58, 42428, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:10:35.186, P2, 1860, 7601, 237.87, 300.00, 83, 88, 59, 42428, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:10:36.187, P2, 1860, 7601, 240.65, 300.00, 83, 88, 60, 42428, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:10:37.187, P2, 1860, 7601, 243.88, 300.00, 84, 88, 60, 42428, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:10:38.188, P2, 1860, 7601, 244.84, 300.00, 84, 88, 61, 42428, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:10:39.189, P2, 1860, 7601, 245.22, 300.00, 84, 90, 63, 42428, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:10:40.190, P2, 1860, 7601, 233.49, 300.00, 84, 88, 56, 42428, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:10:41.191, P2, 1860, 7601, 234.20, 300.00, 84, 86, 56, 42428, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:10:42.192, P2, 1860, 7601, 237.63, 300.00, 84, 88, 58, 42428, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:10:43.193, P2, 1860, 7601, 241.03, 300.00, 84, 89, 60, 42428, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:10:44.194, P2, 1860, 7601, 241.88, 300.00, 84, 88, 60, 42428, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:10:45.195, P2, 1860, 7601, 245.60, 300.00, 84, 90, 62, 42428, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:10:46.196, P2, 1830, 7601, 243.67, 300.00, 84, 87, 61, 42428, 3, 16, Not Active, Not Active, Active
2026/07/24 07:10:47.197, P2, 1830, 7601, 237.20, 300.00, 84, 90, 61, 42428, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:10:48.198, P2, 1860, 7601, 234.68, 300.00, 84, 88, 57, 42428, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:10:49.199, P2, 1860, 7601, 237.91, 300.00, 84, 88, 58, 42428, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:10:50.200, P2, 1830, 7601, 231.23, 300.00, 84, 88, 58, 42428, 3, 16, Not Active, Not Active, Active
2026/07/24 07:10:51.200, P2, 1815, 7601, 230.91, 300.00, 84, 88, 59, 42428, 3, 16, Not Active, Not Active, Active
2026/07/24 07:10:52.201, P2, 1860, 7601, 241.47, 300.00, 84, 88, 60, 42428, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:10:53.202, P2, 1830, 7601, 238.35, 300.00, 84, 88, 61, 42428, 3, 16, Not Active, Not Active, Active
2026/07/24 07:10:54.203, P2, 1830, 7601, 236.55, 300.00, 84, 90, 63, 42428, 3, 16, Not Active, Not Active, Active
2026/07/24 07:10:55.204, P2, 1830, 7601, 235.38, 300.00, 84, 87, 55, 42428, 3, 16, Not Active, Not Active, Active
2026/07/24 07:10:56.205, P2, 1860, 7601, 233.00, 300.00, 84, 87, 56, 42428, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:10:57.206, P2, 1845, 7601, 234.52, 300.00, 84, 88, 58, 42428, 3, 16, Not Active, Not Active, Active
2026/07/24 07:10:58.207, P2, 1830, 7601, 230.21, 300.00, 84, 88, 59, 42428, 3, 16, Not Active, Not Active, Active
2026/07/24 07:10:59.208, P2, 1845, 7601, 237.71, 300.00, 84, 88, 59, 42428, 3, 16, Not Active, Not Active, Active
2026/07/24 07:11:00.209, P2, 1815, 7601, 232.17, 300.00, 84, 88, 60, 42428, 3, 16, Not Active, Not Active, Active
2026/07/24 07:11:01.210, P2, 1860, 7601, 246.71, 300.00, 84, 88, 61, 42428, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:11:02.211, P2, 1830, 7601, 235.78, 300.00, 84, 88, 60, 42428, 3, 16, Not Active, Not Active, Active
2026/07/24 07:11:03.211, P2, 1815, 7601, 242.61, 300.00, 85, 89, 63, 42428, 3, 16, Not Active, Not Active, Active
2026/07/24 07:11:04.212, P2, 1830, 7601, 227.43, 300.00, 84, 88, 57, 42428, 3, 16, Not Active, Not Active, Active
2026/07/24 07:11:05.214, P2, 1800, 7601, 224.73, 300.00, 84, 88, 58, 42428, 3, 16, Not Active, Not Active, Active
2026/07/24 07:11:06.215, P2, 1845, 7601, 238.31, 300.00, 84, 88, 59, 42428, 3, 16, Not Active, Not Active, Active
2026/07/24 07:11:07.216, P2, 1800, 7601, 230.04, 300.00, 84, 88, 59, 42428, 3, 16, Not Active, Not Active, Active
2026/07/24 07:11:08.217, P2, 1860, 7601, 243.67, 300.00, 84, 88, 60, 42428, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:11:09.218, P2, 1800, 7601, 233.07, 300.00, 84, 89, 61, 42428, 3, 16, Not Active, Not Active, Active
2026/07/24 07:11:10.218, P2, 1800, 7601, 235.95, 300.00, 84, 88, 53, 42428, 3, 16, Not Active, Not Active, Active
2026/07/24 07:11:11.219, P2, 1860, 7601, 232.40, 300.00, 84, 87, 55, 42428, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:11:12.220, P2, 1815, 7601, 227.87, 300.00, 84, 88, 57, 42428, 3, 16, Not Active, Not Active, Active
2026/07/24 07:11:13.221, P2, 1845, 7601, 233.38, 300.00, 84, 88, 58, 42428, 3, 16, Not Active, Not Active, Active
2026/07/24 07:11:14.223, P2, 1860, 7601, 240.85, 300.00, 84, 89, 60, 42428, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:11:15.223, P2, 1815, 7601, 233.57, 300.00, 84, 88, 60, 42428, 3, 16, Not Active, Not Active, Active
2026/07/24 07:11:16.225, P2, 1800, 7601, 231.77, 300.00, 84, 88, 60, 42428, 3, 16, Not Active, Not Active, Active
2026/07/24 07:11:17.226, P2, 1800, 7601, 237.84, 300.00, 84, 89, 59, 42428, 3, 16, Not Active, Not Active, Active
2026/07/24 07:11:18.227, P2, 1860, 7601, 235.88, 300.00, 85, 88, 57, 42428, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:11:19.227, P2, 1860, 7601, 227.54, 300.00, 84, 88, 57, 42428, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:11:20.228, P2, 1860, 7601, 229.06, 300.00, 84, 88, 58, 42428, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:11:21.229, P2, 1860, 7601, 227.49, 300.00, 84, 88, 59, 42428, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:11:22.230, P2, 1800, 7601, 227.27, 300.00, 84, 90, 60, 42428, 3, 16, Not Active, Not Active, Active
2026/07/24 07:11:23.231, P2, 1815, 7601, 233.21, 300.00, 84, 88, 60, 42428, 3, 16, Not Active, Not Active, Active
2026/07/24 07:11:24.232, P2, 1800, 7601, 230.34, 300.00, 84, 88, 61, 42428, 3, 16, Not Active, Not Active, Active
2026/07/24 07:11:25.233, P2, 1800, 7601, 234.28, 300.00, 84, 89, 57, 42428, 3, 16, Not Active, Not Active, Active
2026/07/24 07:11:26.234, P2, 1815, 7601, 227.42, 300.00, 84, 88, 58, 42428, 3, 16, Not Active, Not Active, Active
2026/07/24 07:11:27.235, P2, 1800, 7601, 222.46, 300.00, 84, 88, 57, 42428, 3, 16, Not Active, Not Active, Active
2026/07/24 07:11:28.236, P2, 1800, 7601, 224.73, 300.00, 84, 87, 57, 42428, 3, 16, Not Active, Not Active, Active
2026/07/24 07:11:29.237, P2, 1815, 7601, 223.56, 300.00, 84, 95, 54, 42428, 3, 16, Not Active, Not Active, Active
2026/07/24 07:11:30.238, P2, 1830, 7601, 228.99, 300.00, 84, 92, 54, 42428, 3, 16, Not Active, Not Active, Active
2026/07/24 07:11:31.239, P2, 1860, 7601, 233.83, 300.00, 84, 92, 55, 42428, 3, 16, Not Active, Not Active, Not Active
